City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Mataura,NZ,-46.1927,168.8643,56.48,59,2,2.64,clear sky
1,Jaisalmer,IN,26.9147,70.9181,81.09,16,0,8.28,clear sky
2,Ushuaia,AR,-54.8,-68.3,49.66,66,40,5.75,scattered clouds
3,Rikitea,PF,-23.1203,-134.9692,72.25,74,0,5.84,clear sky
4,Awka,NG,6.2101,7.0741,71.47,94,100,2.1,overcast clouds
5,Piuma,BR,-20.8378,-40.7219,73.67,86,7,12.39,clear sky
6,Lebu,CL,-37.6167,-73.65,54.55,75,3,21.54,clear sky
7,Kapit,MY,2.0167,112.9333,71.78,100,100,1.05,overcast clouds
8,Nicoya,CR,10.1483,-85.452,79.02,86,91,3.2,overcast clouds
9,Uden,NL,51.6568,5.6126,55.53,96,100,3.44,overcast clouds
10,Gambela,ET,8.25,34.5833,74.46,81,100,3.44,overcast clouds
11,Steamboat Springs,US,40.485,-106.8317,67.33,17,0,8.01,clear sky
12,Ouegoa,NC,-20.35,164.4333,74.91,61,2,2.75,clear sky
13,Kahului,US,20.8947,-156.47,87.82,69,40,14.0,scattered clouds
14,Port Blair,IN,11.6667,92.75,79.56,81,77,3.96,broken clouds
15,Hobart,AU,-42.8794,147.3294,52.27,80,75,6.91,broken clouds
16,Lazaro Cardenas,MX,17.9583,-102.2,83.98,77,96,5.53,light rain
17,Georgetown,MY,5.4112,100.3354,80.24,87,40,3.44,scattered clouds
18,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,68,75,14.97,broken clouds
19,Yellowknife,CA,62.456,-114.3525,36.12,51,75,19.57,broken clouds
20,Sitka,US,57.0531,-135.33,49.89,76,75,0.0,broken clouds
21,Nokaneng,BW,-19.6667,22.2667,77.43,18,20,6.22,few clouds
22,Havoysund,NO,70.9963,24.6622,43.03,81,41,8.97,scattered clouds
23,Eureka,US,40.8021,-124.1637,60.26,79,2,3.0,clear sky
24,Chlorakas,CY,34.8042,32.4083,68.88,73,40,3.44,scattered clouds
25,Samana,DO,19.2056,-69.3369,86.22,79,20,6.91,few clouds
26,La Ronge,CA,55.1001,-105.2842,48.42,34,40,8.05,scattered clouds
27,Cabo San Lucas,MX,22.8909,-109.9124,89.62,49,0,12.66,clear sky
28,East London,ZA,-33.0153,27.9116,65.35,84,100,8.86,light rain
29,Srandakan,ID,-7.9386,110.2506,76.26,87,92,6.4,overcast clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,75.16,92,96,8.01,overcast clouds
31,Lewiston,US,44.1003,-70.2148,64.92,96,100,9.22,light rain
32,Busselton,AU,-33.65,115.3333,47.07,92,3,7.05,clear sky
33,Yar-Sale,RU,66.8333,70.8333,40.44,89,100,8.88,overcast clouds
34,Saint-Philippe,RE,-21.3585,55.7679,67.59,79,28,10.54,scattered clouds
35,Kaitangata,NZ,-46.2817,169.8464,52.41,66,4,3.78,clear sky
36,Bambous Virieux,MU,-20.3428,57.7575,71.85,68,40,11.5,scattered clouds
37,Necochea,AR,-38.5473,-58.7368,52.09,46,2,15.68,clear sky
38,Torbay,CA,47.6666,-52.7314,54.5,79,20,3.44,few clouds
39,Atar,MR,20.5169,-13.0499,89.02,24,30,4.7,scattered clouds
40,Victoria,HK,22.2855,114.1577,78.33,78,27,8.01,scattered clouds
41,Codrington,AU,-38.2667,141.9667,49.35,90,100,10.4,overcast clouds
42,Carnarvon,AU,-24.8667,113.6333,65.03,63,2,18.72,clear sky
43,Oriximina,BR,-1.7656,-55.8661,88.72,53,80,4.0,broken clouds
44,Yulara,AU,-25.2406,130.9889,61.52,32,99,15.52,overcast clouds
45,New Norfolk,AU,-42.7826,147.0587,51.93,72,100,1.01,overcast clouds
46,Ngunguru,NZ,-35.6167,174.5,57.29,77,64,19.46,broken clouds
47,Poronaysk,RU,49.2167,143.1167,42.37,83,100,2.75,overcast clouds
48,Mehamn,NO,71.0357,27.8492,35.55,87,75,6.91,broken clouds
49,Punta Alta,AR,-38.8759,-62.0736,61.54,37,6,12.71,clear sky
50,Westport,US,41.1415,-73.3579,69.06,72,0,5.75,clear sky
51,Lavrentiya,RU,65.5833,-171.0,27.54,79,34,4.54,scattered clouds
52,Garhi Yasin,PK,27.9069,68.511,71.62,25,0,1.39,clear sky
53,Port Elizabeth,ZA,-33.918,25.5701,61.32,99,100,6.91,light rain
54,Iqaluit,CA,63.7506,-68.5145,29.93,92,75,8.05,broken clouds
55,Kodiak,US,57.79,-152.4072,47.71,71,100,20.71,overcast clouds
56,Mandera,KE,3.9366,41.867,80.74,57,58,11.3,broken clouds
57,Srednekolymsk,RU,67.45,153.6833,9.3,96,100,6.35,overcast clouds
58,Abu Zabad,SD,12.35,29.25,82.13,32,42,5.68,scattered clouds
59,Souillac,MU,-20.5167,57.5167,71.98,68,40,11.5,scattered clouds
60,Inhambane,MZ,-23.865,35.3833,70.27,84,0,8.03,clear sky
61,Leshukonskoye,RU,64.8989,45.7622,40.1,95,100,5.01,overcast clouds
62,Albany,US,42.6001,-73.9662,63.34,53,0,4.45,clear sky
63,Ust-Maya,RU,60.4167,134.5333,22.6,99,77,1.52,broken clouds
64,Pangnirtung,CA,66.1451,-65.7125,30.2,74,100,4.61,overcast clouds
65,Tigil,RU,57.8,158.6667,34.57,100,100,4.99,snow
66,Tacarigua,VE,10.0862,-67.9198,82.44,65,75,2.48,broken clouds
67,Port Augusta,AU,-32.5,137.7667,54.12,75,0,6.4,clear sky
68,Katsuura,JP,35.1333,140.3,70.68,82,98,16.17,overcast clouds
69,Boden,SE,65.8252,21.6886,41.0,87,97,1.7,overcast clouds
70,Kloulklubed,PW,7.0419,134.2556,75.7,77,100,14.7,light rain
71,Barrow,US,71.2906,-156.7887,28.42,69,75,12.66,broken clouds
72,Luderitz,NA,-26.6481,15.1594,65.53,59,100,15.3,overcast clouds
73,Atuona,PF,-9.8,-139.0333,77.16,78,18,17.69,light rain
74,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,83,20,6.91,few clouds
75,Punta Arenas,CL,-53.15,-70.9167,53.71,58,0,34.52,clear sky
76,Butaritari,KI,3.0707,172.7902,81.79,75,100,17.87,overcast clouds
77,Bluff,NZ,-46.6,168.3333,56.8,68,2,6.26,clear sky
78,Cape Town,ZA,-33.9258,18.4232,61.27,77,20,21.85,few clouds
79,Mahebourg,MU,-20.4081,57.7,71.89,68,40,11.5,scattered clouds
80,Nikolskoye,RU,59.7035,30.7861,48.09,82,100,7.14,overcast clouds
81,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.01,90,94,3.13,overcast clouds
82,Yazd,IR,31.8972,54.3675,69.91,18,0,4.61,clear sky
83,Nanortalik,GL,60.1432,-45.2371,31.87,68,4,10.65,clear sky
84,Cidreira,BR,-30.1811,-50.2056,60.85,73,95,17.67,overcast clouds
85,Pisco,PE,-13.7,-76.2167,68.05,60,0,17.27,clear sky
86,Na Wa,TH,17.4897,104.1006,64.49,87,100,5.75,light rain
87,Vaini,TO,-21.2,-175.2,80.76,78,20,17.27,few clouds
88,Hithadhoo,MV,-0.6,73.0833,81.0,75,16,16.35,few clouds
89,Ketchikan,US,55.3422,-131.6461,57.18,100,100,10.36,mist
90,Castro,BR,-24.7911,-50.0119,60.13,97,100,5.91,moderate rain
91,Touros,BR,-5.1989,-35.4608,78.04,75,0,17.07,clear sky
92,Changtu,CN,42.7788,124.0955,49.23,83,0,8.16,clear sky
93,Wattegama,LK,6.7989,81.4808,74.68,92,100,1.9,light rain
94,Taoudenni,ML,22.6783,-3.9836,94.1,9,100,9.24,overcast clouds
95,Kupang,ID,-10.1667,123.5833,77.99,84,99,5.99,overcast clouds
96,High Level,CA,58.5169,-117.136,44.71,57,20,10.36,few clouds
97,Quiniput,PH,7.1783,122.221,75.11,79,96,4.38,overcast clouds
98,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,9.22,scattered clouds
99,Narsaq,GL,60.9167,-46.05,30.42,68,0,6.78,clear sky
100,Port Alfred,ZA,-33.5906,26.891,62.19,96,100,13.73,light rain
101,San Quintin,MX,30.4833,-115.95,69.93,66,11,11.23,few clouds
102,Ponta Do Sol,PT,32.6667,-17.1,73.0,69,89,6.53,overcast clouds
103,Kaeo,NZ,-35.1,173.7833,59.32,93,25,12.1,scattered clouds
104,Chuy,UY,-33.6971,-53.4616,55.72,59,13,10.38,few clouds
105,Qaanaaq,GL,77.484,-69.3632,12.7,82,36,4.56,scattered clouds
106,Bolobo,CD,-2.1667,16.2333,72.27,94,87,2.75,moderate rain
107,Pacific Grove,US,36.6177,-121.9166,69.21,95,100,8.05,overcast clouds
108,Progreso,MX,21.2833,-89.6667,87.12,70,57,11.16,light rain
109,Tarpon Springs,US,28.1461,-82.7568,89.11,65,40,10.36,scattered clouds
110,Hermanus,ZA,-34.4187,19.2345,58.8,82,100,15.59,overcast clouds
111,Glen Ellyn,US,41.8775,-88.067,60.55,33,0,18.41,clear sky
112,Lorengau,PG,-2.0226,147.2712,82.74,69,86,8.75,overcast clouds
113,Turukhansk,RU,65.8167,87.9833,30.61,88,100,13.24,overcast clouds
114,Maumere,ID,-8.6199,122.2111,79.16,79,97,4.76,overcast clouds
115,Inongo,CD,-1.95,18.2667,72.25,96,95,4.25,light rain
116,Emerald,AU,-23.5333,148.1667,68.34,70,15,10.02,few clouds
117,Port-Gentil,GA,-0.7193,8.7815,75.16,100,100,9.22,thunderstorm with light rain
118,Deputatskiy,RU,69.3,139.9,0.54,94,98,5.97,overcast clouds
119,Riyadh,SA,24.6877,46.7219,77.14,19,0,6.42,clear sky
120,Saskylakh,RU,71.9167,114.0833,21.15,91,100,11.86,overcast clouds
121,Gigmoto,PH,13.7796,124.39,78.91,87,9,4.45,clear sky
122,Sebring,US,27.4956,-81.4409,87.51,66,0,8.05,clear sky
123,Mango,US,27.9797,-82.3065,89.19,67,100,3.0,overcast clouds
124,Reconquista,AR,-29.15,-59.65,76.14,42,3,14.36,clear sky
125,Ribeira Grande,PT,38.5167,-28.7,68.77,81,84,15.01,broken clouds
126,Kavaratti,IN,10.5669,72.642,81.25,70,81,3.58,broken clouds
127,Sabang,ID,5.8933,95.3214,81.12,79,100,19.37,overcast clouds
128,Upernavik,GL,72.7868,-56.1549,26.49,88,97,18.05,overcast clouds
129,Karpogory,RU,64.0019,44.4451,41.4,93,100,4.74,overcast clouds
130,Espanola,US,35.9911,-106.0806,77.59,21,0,1.99,clear sky
131,Tiksi,RU,71.6872,128.8694,12.6,93,99,7.92,overcast clouds
132,Ajdabiya,LY,30.7554,20.2263,74.26,68,0,18.68,clear sky
133,Alta Floresta,BR,-9.8756,-56.0861,82.54,59,83,2.57,broken clouds
134,Itarema,BR,-2.9248,-39.9167,79.03,78,39,16.13,scattered clouds
135,Xining,CN,36.6167,101.7667,43.5,47,100,1.7,overcast clouds
136,Te Anau,NZ,-45.4167,167.7167,51.66,52,4,1.95,clear sky
137,Flinders,AU,-34.5833,150.8552,63.05,74,0,4.0,clear sky
138,Hamilton,US,39.1834,-84.5333,66.99,21,0,16.11,clear sky
139,San Cristobal,VE,7.7669,-72.225,78.98,66,97,3.74,overcast clouds
140,Dormidontovka,RU,47.7702,134.9076,46.47,89,92,2.93,overcast clouds
141,Hilo,US,19.7297,-155.09,93.27,68,0,9.22,clear sky
142,Leningradskiy,RU,69.3833,178.4167,13.39,76,58,5.59,broken clouds
143,Vardo,NO,70.3705,31.1107,42.78,81,100,8.05,overcast clouds
144,Thompson,CA,55.7435,-97.8558,33.96,93,100,11.5,mist
145,Jamestown,US,42.097,-79.2353,56.17,33,75,10.36,broken clouds
146,Bairiki,KI,1.3292,172.9752,84.2,74,20,10.36,few clouds
147,Harper,LR,4.375,-7.7169,75.78,90,96,7.38,light rain
148,Scarborough,GB,54.2797,-0.4044,51.37,88,68,7.18,broken clouds
149,Chumikan,RU,54.7183,135.315,42.26,79,91,7.47,overcast clouds
150,Babati,TZ,-4.2167,35.75,62.62,63,10,5.23,clear sky
151,Dikson,RU,73.5069,80.5464,33.04,98,100,24.11,overcast clouds
152,Mishelevka,RU,52.8575,103.1719,29.68,90,99,7.74,overcast clouds
153,Sterling,US,39.0062,-77.4286,69.46,46,20,8.05,few clouds
154,Saint-Leu,RE,-21.15,55.2833,68.83,72,90,2.37,light rain
155,Slave Lake,CA,55.2834,-114.769,55.38,71,100,20.71,overcast clouds
156,Aripuana,BR,-9.1667,-60.6333,81.82,66,100,2.8,overcast clouds
157,Road Town,VG,18.4167,-64.6167,86.09,74,20,5.75,few clouds
158,Longyearbyen,SJ,78.2186,15.6401,22.84,68,75,10.36,light snow
159,Matara,LK,5.9485,80.5353,75.54,92,92,7.47,overcast clouds
160,Shingu,JP,33.7333,135.9833,64.85,84,0,4.47,clear sky
161,Tadine,NC,-21.55,167.8833,71.96,57,90,10.2,overcast clouds
162,Kasama,ZM,-10.2129,31.1808,67.14,24,2,9.62,clear sky
163,Jibuti,DJ,11.5,42.5,76.95,62,1,14.92,clear sky
164,Awbari,LY,26.5921,12.7805,77.76,23,4,2.66,clear sky
165,Berlevag,NO,70.8578,29.0864,35.6,86,0,5.75,clear sky
166,Tamiahua,MX,21.2667,-97.45,84.6,68,11,10.76,few clouds
167,Beringovskiy,RU,63.05,179.3167,30.07,68,94,2.01,overcast clouds
168,Suhut,TR,38.5311,30.5458,53.8,85,100,4.0,overcast clouds
169,Kongolo,CD,-5.3833,27.0,76.53,41,11,1.19,few clouds
170,Hambantota,LK,6.1241,81.1185,78.15,82,100,14.03,overcast clouds
171,Severo-Kurilsk,RU,50.6789,156.125,44.91,89,20,8.01,few clouds
172,Lodja,CD,-3.4833,23.4333,70.18,88,100,3.06,overcast clouds
173,Ahipara,NZ,-35.1667,173.1667,60.01,62,35,8.95,scattered clouds
174,Nuuk,GL,64.1835,-51.7216,29.01,64,75,13.8,broken clouds
175,Nizwa,OM,22.9333,57.5333,72.68,23,0,1.45,clear sky
176,Rawson,AR,-43.3002,-65.1023,67.03,33,4,8.68,clear sky
177,Chokurdakh,RU,70.6333,147.9167,12.09,96,98,7.56,overcast clouds
178,Wagga Wagga,AU,-35.1167,147.3667,54.61,94,0,0.96,clear sky
179,Duliagaon,IN,27.3667,95.3167,70.16,99,32,1.14,scattered clouds
180,Kaohsiung,TW,22.6163,120.3133,78.04,85,75,2.3,broken clouds
181,Nhulunbuy,AU,-12.2333,136.7667,77.61,88,40,0.0,scattered clouds
182,Awjilah,LY,29.1081,21.2869,73.69,77,100,18.84,overcast clouds
183,Keetmanshoop,NA,-26.5833,18.1333,80.02,15,89,9.8,overcast clouds
184,Redmond,US,47.674,-122.1215,77.43,54,5,1.99,clear sky
185,Korla,CN,41.7597,86.1469,51.62,29,13,1.41,few clouds
186,Gemena,CD,3.25,19.7667,72.25,97,100,1.21,overcast clouds
187,Savannah Bight,HN,16.45,-85.85,83.77,77,100,15.57,overcast clouds
188,Kapaa,US,22.0752,-159.319,87.78,78,20,14.97,few clouds
189,Erenhot,CN,43.6475,111.9767,42.87,36,17,8.72,few clouds
190,Grindavik,IS,63.8424,-22.4338,39.67,81,75,16.11,broken clouds
191,Hegang,CN,47.4,130.3667,42.93,74,4,1.81,clear sky
192,Stephenville,US,32.2207,-98.2023,88.77,28,0,5.99,clear sky
193,Palamos,ES,41.8484,3.1291,65.8,89,0,4.0,clear sky
194,Xochistlahuaca,MX,16.7833,-98.25,80.98,89,55,3.96,moderate rain
195,Belint,RO,45.755,21.7603,54.75,80,17,2.89,few clouds
196,Nogliki,RU,51.8333,143.1667,44.1,82,100,7.81,overcast clouds
197,Hasaki,JP,35.7333,140.8333,70.21,72,100,17.72,light rain
198,Pipri,IN,19.8,75.5333,69.4,70,54,7.47,broken clouds
199,Mecca,SA,21.4267,39.8261,81.7,56,20,0.92,few clouds
200,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,86,4,12.33,clear sky
201,Khatanga,RU,71.9667,102.5,30.51,96,100,17.02,light snow
202,San Patricio,US,28.017,-97.5169,90.32,46,57,12.5,broken clouds
203,Bredasdorp,ZA,-34.5322,20.0403,57.7,83,100,10.4,light rain
204,Petatlan,MX,17.5167,-101.2667,87.6,87,98,4.18,moderate rain
205,Chimore,BO,-16.9833,-65.1333,74.39,91,96,1.88,overcast clouds
206,Tasiilaq,GL,65.6145,-37.6368,28.56,60,3,6.96,clear sky
207,Krasnogvardeyskiy,RU,57.3793,62.3195,45.09,89,80,5.19,broken clouds
208,Rocha,UY,-34.4833,-54.3333,53.17,62,22,9.62,few clouds
209,Marsa Matruh,EG,31.3525,27.2453,72.95,65,91,10.65,overcast clouds
210,Puerto Madryn,AR,-42.7692,-65.0385,69.03,26,3,13.98,clear sky
211,Staryy Nadym,RU,65.6118,72.6842,35.94,83,99,11.1,overcast clouds
212,Tucuma,BR,-0.1833,-50.05,82.42,73,87,10.65,moderate rain
213,Dongtai,CN,32.8523,120.3095,54.93,88,1,5.06,clear sky
214,Acajutla,SV,13.5928,-89.8275,82.22,78,100,4.03,overcast clouds
215,Arman,RU,59.7,150.1667,23.99,68,98,7.31,overcast clouds
216,Nsanje,MW,-16.92,35.262,78.33,52,0,3.98,clear sky
217,Ulvik,NO,60.5672,6.9187,43.18,100,100,2.06,light rain
218,Tukrah,LY,32.5341,20.5791,72.27,73,73,17.54,light rain
219,Lata,PT,40.1629,-8.3327,63.07,97,25,1.7,scattered clouds
220,Asau,RO,46.4333,26.4,49.28,93,91,2.73,overcast clouds
221,Pangai,TO,-19.8,-174.35,78.91,89,100,12.66,thunderstorm with light rain
222,Srikakulam,IN,18.3,83.9,76.35,90,78,7.07,broken clouds
223,Moerai,PF,-22.4333,-151.3333,72.82,77,26,5.37,scattered clouds
224,Muros,ES,42.7762,-9.0603,65.08,90,22,7.07,few clouds
225,Pandan,PH,14.0453,124.1694,79.2,86,15,6.71,few clouds
226,Puerto Leguizamo,CO,-0.1934,-74.7819,89.46,50,87,4.7,overcast clouds
227,Valley City,US,46.9233,-98.0032,43.32,52,100,24.16,overcast clouds
228,Starkville,US,33.4504,-88.8184,78.78,29,0,6.91,clear sky
229,Linxia,CN,35.6003,103.2064,47.66,51,100,0.58,overcast clouds
230,Maputo,MZ,-25.9653,32.5892,76.68,78,40,12.66,scattered clouds
231,Samarai,PG,-10.6167,150.6667,81.52,82,66,10.11,broken clouds
232,Ritchie,ZA,-29.038,24.6028,73.53,11,28,11.83,scattered clouds
233,Bengkulu,ID,-3.8004,102.2655,74.34,90,100,3.51,overcast clouds
234,Barsovo,RU,61.1667,73.1667,39.33,79,100,11.07,overcast clouds
235,Medicine Hat,CA,50.0501,-110.6683,70.23,32,100,23.02,overcast clouds
236,Manacor,ES,39.5696,3.2096,69.84,84,2,7.23,clear sky
237,Fairbanks,US,64.8378,-147.7164,28.81,77,0,3.44,clear sky
238,Esperance,AU,-33.8667,121.9,50.43,86,0,8.08,clear sky
239,Shelburne,CA,44.0787,-80.2041,53.24,38,49,12.73,scattered clouds
240,Husavik,IS,66.0449,-17.3389,35.96,95,100,20.89,overcast clouds
241,Pevek,RU,69.7008,170.3133,13.14,90,100,10.51,overcast clouds
242,Weyburn,CA,49.6668,-103.8511,50.22,37,5,12.66,clear sky
243,Buala,SB,-8.145,159.5921,82.0,68,100,2.01,overcast clouds
244,Avarua,CK,-21.2078,-159.775,80.65,74,75,11.5,broken clouds
245,Mana,GF,5.6592,-53.7767,80.38,83,93,10.31,moderate rain
246,Trincomalee,LK,8.5711,81.2335,78.4,82,95,9.48,overcast clouds
247,Mocuba,MZ,-16.8392,36.9856,72.32,72,0,3.36,clear sky
248,Vila Velha,BR,-20.3297,-40.2925,76.95,84,75,12.66,broken clouds
249,Vila,PT,42.0304,-8.1588,54.48,91,8,0.85,clear sky
250,Belaya Gora,RU,68.5333,146.4167,10.4,91,100,4.32,overcast clouds
251,Bonthe,SL,7.5264,-12.505,77.83,86,93,4.99,overcast clouds
252,Rockhampton,AU,-23.3833,150.5,73.29,83,5,4.61,clear sky
253,Namibe,AO,-15.1961,12.1522,67.73,83,84,7.94,broken clouds
254,Ilawe,NG,7.8667,4.4333,70.79,96,100,3.65,overcast clouds
255,Zatoka,UA,46.0725,30.4654,56.37,52,4,14.74,clear sky
256,Ulladulla,AU,-35.35,150.4667,56.39,67,0,3.89,clear sky
257,Sao Francisco De Paula,BR,-29.4481,-50.5836,50.38,97,100,4.68,overcast clouds
258,Fasa,IR,28.9383,53.6482,58.24,33,0,4.61,clear sky
259,Mgandu,TZ,-5.95,34.1333,67.35,34,7,9.46,clear sky
260,Garowe,SO,8.4054,48.4845,76.64,70,40,16.71,scattered clouds
261,Catalina Foothills,US,32.2979,-110.9187,90.55,29,20,8.05,few clouds
262,Kendari,ID,-3.945,122.4989,74.66,95,88,2.62,overcast clouds
263,Jalu,LY,29.0331,21.5482,73.8,79,98,18.66,overcast clouds
264,Clarence Town,AU,-32.5833,151.7833,61.99,69,0,3.33,clear sky
265,Paliyad,IN,22.25,71.5667,79.3,41,18,5.77,few clouds
266,Petropavlovka,RU,50.6114,105.3196,26.38,77,96,5.03,overcast clouds
267,Aklavik,CA,68.2191,-135.0107,28.4,59,75,4.61,broken clouds
268,Tiznit,MA,29.5833,-9.5,76.91,25,48,4.61,scattered clouds
269,Novodolinskiy,KZ,49.705,72.7047,36.18,38,100,6.64,overcast clouds
270,Hofn,IS,64.2539,-15.2082,39.99,62,44,24.43,scattered clouds
271,Fortuna,US,40.5982,-124.1573,59.99,80,7,5.64,clear sky
272,Bay Roberts,CA,47.5999,-53.2648,55.26,83,57,1.01,broken clouds
273,Palana,RU,59.1167,159.9667,32.16,98,100,2.48,light snow
274,Khani,GE,41.9563,42.9566,47.77,79,100,2.66,overcast clouds
275,Isiolo,KE,0.3546,37.5822,69.28,64,56,10.78,broken clouds
276,Kulhudhuffushi,MV,6.6221,73.07,81.23,78,100,18.23,overcast clouds
277,Eirunepe,BR,-6.6603,-69.8736,76.24,95,100,1.12,moderate rain
278,Vanimo,PG,-2.6741,141.3028,77.02,92,99,5.95,overcast clouds
279,Port Hardy,CA,50.6996,-127.4199,51.98,93,75,3.44,fog
